33,0
36,0
21,1
19,2
4,3
12,3
35,8
36,10
34,11
31,12
37,13
5,14
17,14
2,15
39,16
26,18
14,19
14,20
34,21
23,23
30,23
38,23
3,25
16,25
21,28
23,28
0,31
38,31
16,33
2,36
39,37
35,40
7,41
17,41
31,41
12,42
31,42
38,42
7,43
18,43
21,43
22,43
29,44
16,45
33,45
2,46
9,46
16,46
20,46
21,46
19,47
35,47
37,47
2,48
3,48
16,48
26,48
23,49
30,49
12,50
8,51
23,52
28,52
25,54
0,55
9,55
22,55
36,55
38,55
6,56
10,56
14,56
18,56
26,56
29,56
5,57
13,57
18,57
19,57
23,57
18,58
22,58
34,58
2,59
8,59
9,59
38,59
14,60
30,60
24,61
35,62
5,63
7,64
13,64
33,64
0,65
17,65
27,67
3,68
13,69
1,71
38,71
8,73
13,73
32,73
16,74
32,74
23,76
13,77
13,78
24,78
17,79
22,79
0,81
6,81
19,81
5,82
2,90
11,90
27,91
26,97
1,99
7,109
37,109
17,112
36,119
24,122
28,122
18,126
21,128
32,134
23,138
39,140
7,143
35,146
